,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
868,34,single,m,straight,athletic,strictly anything,socially,never,,white,66.0,-1,student,2012-06-30-00-44,"berkeley, california",,likes dogs and likes cats,agnosticism,virgo,no,english (fluently)
869,24,single,m,straight,average,strictly vegetarian,very often,sometimes,graduated from college/university,white,68.0,30000,artistic / musical / writer,2012-06-19-09-15,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,atheism and very serious about it,virgo but it doesn&rsquo;t matter,when drinking,"english (fluently), french (poorly), spanish (poorly)"
870,27,single,m,straight,athletic,mostly other,socially,never,graduated from college/university,other,73.0,-1,science / tech / engineering,2012-06-28-21-45,"san francisco, california",doesn't have kids,,other,capricorn,no,"english, turkish (fluently), italian (okay)"
871,22,single,m,straight,,mostly vegetarian,socially,sometimes,graduated from masters program,white,73.0,100000,,2012-06-18-01-22,"san francisco, california",,,atheism but not too serious about it,,no,"english (fluently), spanish (fluently), french (poorly), korean (poorly)"
872,29,single,f,straight,full figured,,rarely,never,graduated from college/university,white,64.0,-1,entertainment / media,2012-06-26-22-38,"berkeley, california",,has dogs,other,aquarius and it&rsquo;s fun to think about,when drinking,english
873,23,single,f,straight,fit,,socially,never,graduated from college/university,white,68.0,-1,sales / marketing / biz dev,2012-06-28-23-15,"san francisco, california",,,,,,"english, polish (fluently), spanish (poorly)"
874,22,single,m,straight,athletic,anything,socially,never,,white,68.0,-1,,2012-06-29-19-20,"san francisco, california",,,,taurus,no,"english (fluently), french (fluently), german (okay)"
875,21,single,f,bisexual,skinny,anything,socially,never,working on college/university,black,67.0,-1,other,2012-06-30-00-45,"oakland, california",,likes dogs and likes cats,agnosticism,aries and it&rsquo;s fun to think about,no,english
876,25,single,m,straight,athletic,mostly anything,socially,never,working on masters program,asian,67.0,100000,computer / hardware / software,2012-06-29-22-51,"mountain view, california",doesn't have kids,likes dogs and likes cats,,capricorn and it&rsquo;s fun to think about,no,english (fluently)
877,32,single,m,straight,athletic,mostly vegetarian,socially,sometimes,working on ph.d program,white,70.0,-1,science / tech / engineering,2012-06-27-22-16,"berkeley, california",,likes dogs and likes cats,agnosticism and laughing about it,pisces and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (okay)"
878,32,single,f,straight,thin,anything,socially,never,graduated from college/university,white,63.0,50000,medicine / health,2012-06-20-13-38,"belmont, california",,,agnosticism,,no,english
879,28,single,m,straight,skinny,mostly anything,socially,,graduated from college/university,white,72.0,-1,science / tech / engineering,2012-06-20-07-54,"san francisco, california",,likes dogs and has cats,atheism but not too serious about it,aquarius but it doesn&rsquo;t matter,no,english
880,30,single,m,straight,average,mostly other,not at all,never,,other,72.0,-1,other,2012-06-28-15-45,"san francisco, california",has a kid,has dogs,,libra,,"english (okay), italian (poorly), latvian (poorly), spanish (poorly)"
881,26,single,m,straight,average,mostly anything,socially,never,graduated from masters program,asian,67.0,-1,banking / financial / real estate,2012-06-21-19-23,"san mateo, california",,,catholicism but not too serious about it,capricorn but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (fluently)"
882,21,single,f,straight,curvy,mostly vegetarian,often,sometimes,working on college/university,native american,66.0,-1,student,2012-04-13-13-49,"san francisco, california",,likes dogs and likes cats,,scorpio,sometimes,"english (fluently), french (okay), arabic (poorly), spanish (okay), latin (poorly)"
883,20,single,f,straight,thin,strictly vegetarian,not at all,never,working on college/university,white,63.0,-1,,2012-02-22-21-55,"san francisco, california",,,,,,english (fluently)
884,36,single,m,straight,fit,strictly anything,not at all,never,graduated from masters program,white,73.0,150000,science / tech / engineering,2012-06-30-00-45,"oakland, california","doesn't have kids, but wants them",likes dogs and likes cats,other and laughing about it,scorpio but it doesn&rsquo;t matter,no,english (poorly)
885,27,single,f,straight,athletic,anything,socially,,graduated from college/university,white,65.0,-1,,2012-06-20-23-35,"oakland, california",doesn't have kids,likes dogs and likes cats,,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
886,27,single,m,straight,fit,mostly vegetarian,socially,never,working on ph.d program,white,76.0,-1,science / tech / engineering,2012-06-21-19-29,"menlo park, california",,likes dogs,,,no,"english, spanish (okay), japanese (poorly)"
887,25,single,f,straight,,strictly anything,often,,graduated from college/university,white,66.0,-1,other,2012-06-02-10-55,"oakland, california",,likes dogs and likes cats,,pisces,,english
888,44,single,m,straight,,,rarely,never,graduated from college/university,white,74.0,-1,education / academia,2011-12-20-20-19,"san mateo, california",has a kid,has cats,agnosticism but not too serious about it,cancer but it doesn&rsquo;t matter,no,english (fluently)
889,40,single,f,straight,fit,,socially,never,graduated from med school,"indian, white",65.0,-1,medicine / health,2012-06-23-10-14,"berkeley, california",,likes cats,,,no,"english (fluently), spanish (fluently)"
890,21,single,m,gay,fit,strictly anything,rarely,never,working on college/university,white,71.0,-1,student,2012-06-27-19-07,"san francisco, california",,,,aquarius,no,"english, sign language (okay)"
891,31,single,m,straight,athletic,,socially,,graduated from college/university,white,68.0,-1,executive / management,2012-06-25-08-02,"san francisco, california",,,,libra,no,"english, portuguese (poorly), french (poorly), chinese (poorly), indonesian (poorly)"
892,33,single,m,straight,used up,strictly anything,often,sometimes,graduated from space camp,white,70.0,-1,science / tech / engineering,2012-06-29-23-22,"menlo park, california",doesn't have kids,likes dogs,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter,yes,english (poorly)
893,29,single,f,gay,a little extra,mostly anything,not at all,never,college/university,white,62.0,-1,other,2012-06-19-22-38,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)"
894,27,seeing someone,f,straight,curvy,,often,sometimes,graduated from college/university,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",65.0,20000,hospitality / travel,2011-10-17-12-42,"oakland, california",,likes dogs and likes cats,other and laughing about it,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (poorly)"
895,25,single,f,straight,athletic,anything,socially,never,graduated from college/university,white,67.0,-1,education / academia,2011-08-15-09-48,"san francisco, california",,likes dogs and likes cats,christianity but not too serious about it,sagittarius but it doesn&rsquo;t matter,no,english
896,31,single,f,straight,fit,,,,graduated from college/university,,64.0,-1,artistic / musical / writer,2012-04-16-22-50,"san francisco, california",,,,,no,english
897,23,single,f,straight,average,,socially,,working on college/university,"asian, white",62.0,-1,student,2012-06-29-11-49,"san francisco, california",,,,leo and it&rsquo;s fun to think about,sometimes,english
898,26,single,f,gay,a little extra,,rarely,sometimes,graduated from college/university,,66.0,-1,political / government,2012-06-28-17-54,"san francisco, california",,has cats,,leo,no,english
899,25,single,f,bisexual,curvy,,,,graduated from masters program,white,70.0,-1,,2012-06-30-00-46,"san francisco, california",,,agnosticism and very serious about it,,,english
900,21,single,f,straight,curvy,anything,socially,never,working on college/university,"asian, black",66.0,20000,sales / marketing / biz dev,2012-05-13-08-54,"oakland, california","doesn't have kids, but wants them",has dogs,christianity,taurus and it&rsquo;s fun to think about,no,english
901,22,single,f,straight,curvy,mostly vegetarian,socially,,working on college/university,white,67.0,-1,student,2012-04-07-16-10,"emeryville, california",,,other,libra and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (fluently), german (okay), portuguese (okay)"
902,32,single,m,straight,fit,strictly anything,not at all,,graduated from masters program,white,72.0,-1,entertainment / media,2012-06-29-19-46,"oakland, california",,likes dogs,,taurus and it&rsquo;s fun to think about,no,english (fluently)
903,24,single,m,straight,fit,strictly anything,,never,working on college/university,white,67.0,-1,other,2012-06-28-16-07,"san francisco, california",,has dogs and dislikes cats,other and laughing about it,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)"
904,27,single,m,straight,average,strictly anything,socially,never,working on ph.d program,"hispanic / latin, white",73.0,-1,education / academia,2012-06-28-13-31,"stanford, california",doesn't have kids,likes dogs,catholicism,,no,"english, spanish, german, french, serbian"
905,38,single,f,straight,curvy,mostly other,socially,never,graduated from masters program,white,65.0,-1,executive / management,2012-06-29-18-35,"san francisco, california","doesn't have kids, but wants them",likes dogs and has cats,judaism and laughing about it,scorpio but it doesn&rsquo;t matter,no,"english (fluently), french (okay)"
906,28,single,m,straight,average,other,socially,,college/university,,72.0,-1,,2012-06-29-21-58,"oakland, california",,has cats,agnosticism,taurus,when drinking,english
907,32,single,m,straight,average,strictly anything,socially,never,graduated from college/university,white,66.0,-1,,2012-06-28-21-45,"san francisco, california",,,agnosticism and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
908,24,single,f,straight,curvy,,socially,never,graduated from college/university,white,67.0,-1,medicine / health,2012-06-29-22-28,"martinez, california",doesn't have kids,has cats,,,,english
909,23,single,f,straight,fit,,rarely,sometimes,graduated from college/university,"hispanic / latin, white",58.0,-1,other,2012-06-29-16-14,"san francisco, california",doesn't have kids,likes dogs and likes cats,judaism and laughing about it,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (okay)"
910,45,single,f,straight,average,,socially,never,graduated from college/university,white,62.0,-1,other,2012-06-28-18-45,"larkspur, california","has a kid, and might want more",likes dogs and has cats,christianity,scorpio and it&rsquo;s fun to think about,no,english
911,47,single,m,straight,athletic,,not at all,never,,white,69.0,-1,computer / hardware / software,2012-06-29-16-52,"san francisco, california",has a kid,,,,no,english
912,35,single,m,bisexual,,,often,sometimes,graduated from masters program,white,72.0,-1,computer / hardware / software,2012-06-06-20-08,"san francisco, california",doesn't have kids,likes dogs and likes cats,buddhism,taurus,no,"english, spanish (poorly)"
913,42,single,m,straight,athletic,strictly vegetarian,rarely,never,graduated from masters program,white,67.0,50000,education / academia,2012-04-17-22-46,"berkeley, california",,,agnosticism,gemini but it doesn&rsquo;t matter,no,english
914,37,single,m,straight,average,,socially,,graduated from college/university,white,70.0,-1,other,2012-06-29-17-51,"san rafael, california","doesn't have kids, but might want them",likes dogs and has cats,other and very serious about it,sagittarius and it&rsquo;s fun to think about,no,english (fluently)
915,34,single,f,straight,average,mostly anything,socially,sometimes,dropped out of space camp,white,64.0,40000,entertainment / media,2012-06-29-19-52,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism,taurus and it&rsquo;s fun to think about,no,english (fluently)
916,26,single,m,gay,fit,mostly vegan,socially,never,graduated from college/university,,70.0,-1,,2012-06-28-21-28,"berkeley, california",,likes dogs and likes cats,agnosticism and laughing about it,aquarius and it&rsquo;s fun to think about,no,"english (fluently), french (okay)"
917,29,single,m,straight,,mostly anything,socially,never,graduated from masters program,,66.0,-1,science / tech / engineering,2012-06-29-20-53,"san francisco, california",doesn't have kids,,buddhism and somewhat serious about it,taurus but it doesn&rsquo;t matter,no,"english, thai"
918,26,single,m,straight,fit,mostly anything,socially,never,working on college/university,white,70.0,-1,science / tech / engineering,2012-06-28-03-21,"walnut creek, california",,,,leo and it&rsquo;s fun to think about,no,english
919,22,single,f,gay,average,strictly vegan,not at all,never,graduated from two-year college,hispanic / latin,64.0,-1,artistic / musical / writer,2012-06-18-21-02,"san francisco, california",doesn't want kids,has dogs and has cats,atheism and laughing about it,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)"
920,36,seeing someone,m,straight,average,mostly anything,rarely,,graduated from masters program,white,70.0,-1,rather not say,2012-06-21-13-44,"san francisco, california",,likes dogs and has cats,atheism but not too serious about it,sagittarius but it doesn&rsquo;t matter,trying to quit,"english (fluently), french (poorly)"
921,28,single,m,straight,thin,strictly anything,socially,,graduated from college/university,white,66.0,-1,,2012-06-18-14-00,"san francisco, california",,likes dogs and likes cats,,cancer and it&rsquo;s fun to think about,when drinking,english
922,28,single,m,straight,average,anything,socially,,college/university,hispanic / latin,69.0,-1,sales / marketing / biz dev,2012-06-29-08-41,"san francisco, california",doesn't have kids,likes dogs and likes cats,,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), french (poorly)"
923,41,single,m,bisexual,athletic,,rarely,sometimes,graduated from college/university,white,73.0,80000,computer / hardware / software,2012-06-24-18-00,"san francisco, california",doesn't want kids,,atheism and somewhat serious about it,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)"
924,24,single,f,straight,average,mostly vegetarian,socially,sometimes,graduated from college/university,white,65.0,-1,,2012-06-28-22-12,"san francisco, california",,,atheism and very serious about it,taurus and it&rsquo;s fun to think about,no,"english (fluently), italian (okay)"
925,24,single,f,straight,full figured,anything,,,working on law school,,66.0,-1,,2012-06-13-18-06,"san mateo, california",,,,capricorn,,english
926,27,single,m,straight,fit,strictly vegan,rarely,sometimes,graduated from college/university,,72.0,-1,,2012-03-26-21-36,"berkeley, california",,,,capricorn and it&rsquo;s fun to think about,no,"english (fluently), other (okay), other (fluently)"
927,32,single,f,straight,fit,,socially,never,graduated from masters program,"asian, white",66.0,-1,sales / marketing / biz dev,2012-05-20-09-45,"san mateo, california",,likes dogs and dislikes cats,,aries but it doesn&rsquo;t matter,no,english
928,27,single,f,straight,fit,,socially,,graduated from college/university,,61.0,-1,,2012-06-23-22-44,"san francisco, california",,,agnosticism and laughing about it,,no,english
929,24,single,m,gay,skinny,mostly anything,socially,never,graduated from masters program,indian,67.0,-1,science / tech / engineering,2012-06-27-00-30,"alameda, california",doesn't have kids,,,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), tamil (okay), hindi (poorly)"
930,23,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,74.0,-1,computer / hardware / software,2012-06-29-14-38,"san francisco, california",doesn't have kids,,christianity,,no,english
931,27,single,m,straight,average,,often,never,graduated from college/university,white,64.0,-1,computer / hardware / software,2012-05-31-22-16,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
932,26,single,m,straight,,vegetarian,often,,graduated from college/university,,74.0,-1,science / tech / engineering,2012-06-29-19-56,"san francisco, california",doesn't want kids,likes dogs and likes cats,,,trying to quit,english
933,41,available,f,straight,,,socially,,graduated from masters program,,67.0,-1,,2012-06-28-17-46,"oakland, california",,likes dogs and likes cats,,pisces,no,english
934,34,single,m,bisexual,curvy,strictly anything,socially,never,graduated from masters program,"white, other",68.0,100000,computer / hardware / software,2012-06-17-19-06,"san francisco, california","doesn't have kids, but might want them",has cats,atheism and very serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), lisp (okay), spanish (poorly), japanese (poorly)"
935,40,single,m,straight,average,mostly anything,rarely,never,graduated from space camp,white,70.0,100000,science / tech / engineering,2012-06-29-22-01,"palo alto, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity and laughing about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (poorly)"
936,24,single,f,straight,thin,strictly anything,socially,never,graduated from college/university,asian,65.0,-1,science / tech / engineering,2012-06-27-21-14,"san francisco, california",doesn't have kids,likes dogs and likes cats,,aries but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently), spanish (poorly)"
937,23,available,m,straight,average,strictly vegetarian,rarely,sometimes,dropped out of two-year college,white,71.0,1000000,unemployed,2012-02-25-08-57,"oakland, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter,no,english
938,30,single,m,straight,average,anything,socially,,college/university,hispanic / latin,64.0,-1,artistic / musical / writer,2012-06-29-22-20,"berkeley, california",,has dogs,,,,english
939,27,single,m,straight,thin,mostly anything,socially,,graduated from college/university,white,67.0,-1,,2012-06-28-09-33,"san francisco, california",,,,libra,,english
940,29,single,f,straight,average,mostly anything,socially,never,working on masters program,asian,64.0,-1,medicine / health,2012-06-30-00-48,"san francisco, california",,,,,no,"english, chinese"
941,29,single,f,gay,thin,strictly anything,socially,never,working on ph.d program,white,66.0,-1,,2012-06-29-22-56,"oakland, california",,,agnosticism and laughing about it,pisces,no,"english (fluently), french (okay)"
942,31,single,m,gay,thin,mostly anything,often,sometimes,working on college/university,white,71.0,1000000,artistic / musical / writer,2012-01-18-14-05,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about,yes,"english (fluently), german (okay), c++ (poorly)"
943,38,married,f,bisexual,,strictly anything,socially,sometimes,graduated from college/university,white,67.0,-1,science / tech / engineering,2012-03-04-20-42,"pinole, california",has kids,likes dogs and likes cats,atheism and somewhat serious about it,taurus and it&rsquo;s fun to think about,sometimes,"english (fluently), german (okay), spanish (poorly)"
944,28,single,m,straight,athletic,mostly anything,socially,sometimes,dropped out of college/university,,73.0,80000,artistic / musical / writer,2012-06-29-00-02,"san francisco, california",,,,capricorn and it&rsquo;s fun to think about,when drinking,"english (fluently), hindi (okay), other (fluently), other (okay), other (okay)"
945,33,single,m,straight,a little extra,,socially,never,graduated from masters program,white,66.0,150000,computer / hardware / software,2012-06-27-14-25,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,,,no,english
946,28,single,m,straight,athletic,,,,graduated from masters program,,74.0,-1,science / tech / engineering,2012-06-28-18-19,"san francisco, california",,,,gemini and it&rsquo;s fun to think about,,"english, hindi, japanese, c++"
947,35,single,f,straight,thin,,socially,never,graduated from college/university,white,67.0,-1,artistic / musical / writer,2012-06-20-01-23,"san francisco, california",,likes dogs and has cats,atheism,,no,english
948,25,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,asian,66.0,-1,,2012-04-26-17-05,"berkeley, california",doesn't want kids,likes dogs and likes cats,atheism,sagittarius,no,"english (fluently), korean (okay), spanish (poorly)"
949,31,single,m,straight,athletic,strictly anything,often,sometimes,graduated from college/university,,71.0,40000,,2012-06-27-14-37,"san leandro, california",doesn't have kids,,,scorpio and it&rsquo;s fun to think about,no,english
950,28,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,other,69.0,-1,computer / hardware / software,2012-06-29-22-51,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,atheism and laughing about it,taurus but it doesn&rsquo;t matter,no,english (poorly)
951,30,available,m,straight,,,socially,never,graduated from two-year college,white,71.0,-1,computer / hardware / software,2012-06-26-18-11,"san francisco, california",doesn't want kids,likes cats,agnosticism and laughing about it,leo but it doesn&rsquo;t matter,no,english
952,26,single,f,straight,thin,strictly anything,socially,sometimes,graduated from college/university,asian,68.0,-1,sales / marketing / biz dev,2012-06-30-00-49,"burlingame, california","doesn't have kids, and doesn't want any",has dogs,agnosticism and laughing about it,leo but it doesn&rsquo;t matter,when drinking,"english (fluently), korean (poorly)"
953,23,single,f,straight,skinny,,socially,sometimes,working on college/university,"asian, white",61.0,-1,artistic / musical / writer,2012-06-29-19-20,"oakland, california",,has dogs and has cats,agnosticism but not too serious about it,virgo,yes,english
954,43,single,m,straight,fit,,socially,never,graduated from masters program,white,75.0,-1,,2012-06-29-00-18,"san francisco, california",doesn't have kids,,agnosticism and very serious about it,,no,english
955,24,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,,66.0,-1,,2012-06-30-00-49,"berkeley, california",,,,libra,no,"english (fluently), spanish (okay)"
956,35,single,m,straight,,,socially,never,graduated from masters program,white,74.0,-1,construction / craftsmanship,2012-04-29-07-23,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism and laughing about it,,no,english (poorly)
957,30,single,m,straight,fit,vegetarian,socially,,working on college/university,white,69.0,20000,artistic / musical / writer,2012-06-19-09-44,"san francisco, california",,likes dogs and likes cats,atheism,sagittarius,no,english
958,23,single,f,bisexual,,strictly vegetarian,rarely,never,graduated from college/university,,62.0,-1,,2012-03-17-08-53,"san francisco, california",,likes dogs and likes cats,other but not too serious about it,cancer but it doesn&rsquo;t matter,no,"english (fluently), latin (okay), lisp (okay), spanish (poorly)"
959,21,single,f,straight,,,socially,,working on college/university,middle eastern,65.0,-1,student,2012-02-26-22-51,"berkeley, california",,has dogs and has cats,,capricorn and it&rsquo;s fun to think about,no,"english, spanish (okay), french (okay), persian (poorly)"
960,40,single,f,straight,curvy,,socially,,graduated from ph.d program,,60.0,-1,education / academia,2012-06-27-23-06,"albany, california",,,,aries and it&rsquo;s fun to think about,no,"english, chinese, german"
961,26,single,m,straight,thin,,often,,graduated from masters program,white,74.0,-1,computer / hardware / software,2012-06-26-01-24,"palo alto, california",,likes dogs and likes cats,judaism but not too serious about it,,no,"english, spanish (okay)"
962,23,single,m,straight,skinny,,,,,white,68.0,-1,,2012-06-29-09-05,"san francisco, california",,,agnosticism,scorpio,,english
963,23,single,f,straight,thin,mostly anything,socially,,working on masters program,white,64.0,-1,education / academia,2012-06-29-08-49,"san francisco, california",,,,,no,english
964,34,single,m,straight,athletic,,socially,never,working on ph.d program,white,73.0,20000,student,2012-06-28-00-27,"berkeley, california",,,agnosticism,cancer but it doesn&rsquo;t matter,no,"english, spanish (poorly)"
965,33,single,f,straight,,,,,graduated from masters program,asian,64.0,-1,science / tech / engineering,2012-06-20-00-19,"san francisco, california",,,,,,english
966,25,single,f,straight,average,mostly anything,often,sometimes,dropped out of two-year college,white,67.0,-1,sales / marketing / biz dev,2012-05-16-00-04,"san francisco, california",,,,sagittarius but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)"
967,28,single,m,straight,athletic,mostly vegetarian,not at all,never,working on two-year college,white,73.0,60000,political / government,2012-06-28-15-27,"orinda, california",,has dogs and has cats,other but not too serious about it,pisces and it&rsquo;s fun to think about,sometimes,english (fluently)
968,34,single,f,straight,athletic,strictly anything,socially,never,,white,66.0,-1,medicine / health,2012-06-28-12-57,"oakland, california",,has dogs,,,no,english
969,21,single,f,bisexual,thin,strictly anything,socially,never,working on space camp,white,60.0,20000,artistic / musical / writer,2012-06-29-22-32,"san francisco, california",,likes dogs and has cats,atheism and very serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), german (okay), sign language (poorly)"
970,23,single,f,gay,curvy,,often,sometimes,graduated from college/university,white,70.0,-1,construction / craftsmanship,2012-06-29-14-24,"san francisco, california",doesn't have kids,,atheism and laughing about it,aries but it doesn&rsquo;t matter,when drinking,english (fluently)
971,30,single,m,gay,average,anything,socially,never,graduated from masters program,white,69.0,-1,construction / craftsmanship,2012-06-27-09-40,"san francisco, california",,likes dogs and dislikes cats,,cancer but it doesn&rsquo;t matter,no,english (fluently)
972,31,single,m,straight,thin,,socially,never,graduated from college/university,white,67.0,-1,artistic / musical / writer,2012-06-29-17-25,"san rafael, california",,,,aries,no,english
973,37,single,m,straight,average,,socially,,graduated from college/university,,72.0,-1,artistic / musical / writer,2012-06-03-20-58,"south san francisco, california",,likes dogs,catholicism,leo and it&rsquo;s fun to think about,,"english (fluently), indonesian (okay), vietnamese (poorly), tagalog (fluently), spanish (okay)"
974,32,seeing someone,m,straight,a little extra,mostly anything,socially,,graduated from college/university,white,71.0,-1,computer / hardware / software,2012-06-11-10-42,"san francisco, california","doesn't have kids, but might want them",has dogs,atheism,leo but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), french (poorly)"
975,23,single,f,straight,athletic,mostly anything,socially,sometimes,graduated from college/university,white,65.0,-1,sales / marketing / biz dev,2012-06-29-18-51,"san francisco, california",doesn't have kids,,atheism and laughing about it,leo,no,"english (fluently), spanish (okay)"
976,28,single,m,straight,average,strictly anything,often,,,white,72.0,-1,political / government,2012-05-16-23-26,"berkeley, california",,,,cancer,,english
977,24,single,f,bisexual,average,strictly anything,socially,never,working on ph.d program,white,65.0,-1,student,2012-06-26-13-20,"berkeley, california",,likes dogs and likes cats,catholicism,scorpio and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), croatian (poorly), serbian (poorly)"
978,40,available,m,straight,fit,mostly anything,often,never,graduated from ph.d program,white,71.0,-1,science / tech / engineering,2012-03-13-22-16,"san francisco, california",doesn't want kids,,atheism and somewhat serious about it,,no,english
979,27,single,f,straight,,mostly vegetarian,,,graduated from college/university,white,66.0,-1,law / legal services,2012-06-29-19-59,"san francisco, california",,,atheism but not too serious about it,,,english
980,43,single,m,straight,athletic,,rarely,,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-29-08-19,"san francisco, california",,likes dogs and has cats,atheism and laughing about it,sagittarius but it doesn&rsquo;t matter,no,english
981,27,seeing someone,f,bisexual,full figured,strictly other,rarely,sometimes,working on space camp,white,66.0,-1,student,2012-06-29-22-12,"oakland, california","doesn't have kids, but might want them",has dogs and likes cats,atheism and somewhat serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently)
982,27,single,m,gay,fit,,socially,,graduated from college/university,,74.0,-1,construction / craftsmanship,2012-06-07-21-14,"san francisco, california",,,,virgo,no,english
983,23,single,m,straight,fit,,,,working on college/university,white,73.0,-1,,2012-06-29-17-29,"berkeley, california",doesn't have kids,has dogs,,aries,no,english
984,30,single,f,straight,curvy,anything,socially,,graduated from college/university,white,64.0,-1,education / academia,2012-06-29-10-43,"walnut creek, california","doesn't have kids, but might want them",likes dogs and has cats,judaism but not too serious about it,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)"
985,30,single,f,straight,fit,anything,socially,never,graduated from college/university,white,64.0,-1,banking / financial / real estate,2012-06-29-13-06,"san francisco, california",doesn't have kids,likes dogs,,cancer,no,"english (fluently), spanish (poorly)"
986,29,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,white,70.0,-1,other,2012-06-29-18-00,"san francisco, california",,likes dogs and likes cats,agnosticism,taurus,no,"english (fluently), portuguese (poorly), spanish (poorly)"
987,22,single,f,gay,fit,mostly vegetarian,socially,sometimes,graduated from college/university,"hispanic / latin, white",66.0,-1,science / tech / engineering,2012-06-26-10-53,"san francisco, california",,likes dogs and has cats,atheism,gemini but it doesn&rsquo;t matter,when drinking,"english, spanish (fluently), french (okay)"
988,41,single,m,straight,fit,,socially,,graduated from masters program,white,74.0,-1,other,2012-06-26-18-58,"san francisco, california",,,other,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)"
989,23,single,f,straight,average,vegetarian,socially,,working on masters program,white,66.0,-1,student,2012-06-29-20-48,"berkeley, california",,likes dogs and likes cats,,libra but it doesn&rsquo;t matter,,"english (fluently), spanish (okay), italian (poorly), german (poorly)"
990,25,single,f,straight,athletic,strictly anything,socially,,working on med school,black,66.0,-1,student,2012-06-21-17-56,"oakland, california",,has dogs and likes cats,,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)"
991,31,single,f,straight,curvy,anything,socially,never,dropped out of ph.d program,white,68.0,-1,science / tech / engineering,2012-06-29-07-59,"san francisco, california",,has dogs and likes cats,agnosticism,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (okay)"
992,22,single,f,straight,average,mostly anything,rarely,never,working on high school,white,61.0,20000,other,2012-02-19-00-13,"hayward, california",has a kid,has dogs,catholicism but not too serious about it,aries but it doesn&rsquo;t matter,no,english (fluently)
993,30,single,m,straight,athletic,,socially,,,white,68.0,-1,,2012-06-29-23-30,"san francisco, california",,,,cancer,no,english
994,30,single,m,straight,athletic,other,socially,never,graduated from college/university,black,72.0,-1,entertainment / media,2012-06-29-01-02,"oakland, california","doesn't have kids, but wants them",has dogs and dislikes cats,christianity,sagittarius,no,"english (fluently), spanish (okay), german (poorly)"
995,26,single,m,straight,fit,,socially,never,graduated from college/university,white,72.0,-1,entertainment / media,2012-06-29-03-12,"san francisco, california",,has dogs,christianity and somewhat serious about it,pisces but it doesn&rsquo;t matter,no,english
996,40,seeing someone,m,straight,average,,socially,sometimes,graduated from college/university,white,67.0,150000,computer / hardware / software,2012-06-27-08-25,"san francisco, california",,likes dogs and likes cats,agnosticism and very serious about it,libra but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently)"
997,31,single,f,straight,,mostly vegetarian,socially,,,"middle eastern, white",59.0,-1,,2012-06-29-14-30,"san francisco, california",,likes dogs and likes cats,,leo,no,"english, hebrew (poorly)"
